Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Credit_History_Months,Num_Loan_Types,Has_Loan
April,47.0,Entrepreneur,61369.36,5198.113333333334,0.0,6.0,11.0,4.0,10,6.0,2.68,0.0,Good,1063.89,33.41349377639989,No,158.6183573887039,169.42382428514068,Low_spent_Large_value_payments,461.7691516594888,Poor,275.0,4,1
May,47.0,Entrepreneur,61369.36,5198.113333333334,0.0,6.0,11.0,4.0,10,6.0,2.68,0.0,Good,1063.89,31.52125150658149,No,158.6183573887039,213.6362811154287,Low_spent_Large_value_payments,417.5566948292009,Poor,276.0,4,1
June,47.0,Entrepreneur,61369.36,5198.113333333334,0.0,6.0,11.0,4.0,5,3.0,2.68,0.0,Good,1063.89,31.410202238052435,No,158.6183573887039,257.24975999007563,High_spent_Small_value_payments,363.9432159545539,Poor,277.0,4,1
July,,Entrepreneur,61369.36,5198.113333333334,0.0,6.0,11.0,4.0,10,6.0,2.68,1.0,Good,1063.89,27.301652003314924,,158.6183573887039,180.1731129797073,High_spent_Small_value_payments,441.0198629649223,Standard,278.0,4,1
August,47.0,Entrepreneur,61369.36,5198.113333333334,0.0,6.0,11.0,4.0,10,6.0,2.68,1.0,Good,1063.89,29.641862834399404,,158.6183573887039,238.7680126863234,Low_spent_Small_value_payments,412.4249632583062,Poor,279.0,4,1
January,33.0,Media_Manager,14310.25,,9.0,10.0,34.0,9.0,15,25.0,1.54,6.0,Bad,2188.14,30.65676671147849,,92.4140805435154,56.171362453603,,247.8666403362149,Poor,143.0,9,1
February,33.0,Media_Manager,14310.25,1064.5208333333333,9.0,10.0,34.0,9.0,13,25.0,1.54,6.0,Bad,2188.14,30.140637554070988,Yes,92.4140805435154,11.556947764996677,High_spent_Large_value_payments,242.4810550248212,Standard,144.0,9,1
March,33.0,Media_Manager,14310.25,1064.5208333333333,9.0,10.0,34.0,9.0,11,23.0,1.54,6.0,_,2188.14,29.72556475117788,Yes,92.4140805435154,66.14894585077829,Low_spent_Small_value_payments,237.8890569390396,Poor,145.0,9,1
April,33.0,Media_Manager,14310.25,1064.5208333333333,9.0,10.0,34.0,9.0,15,25.0,-0.46,6.0,Bad,2188.14,24.8822603721892,Yes,92.4140805435154,36.097494497528686,High_spent_Medium_value_payments,227.9405082922892,Standard,146.0,9,1
May,33.0,Media_Manager,14310.25,1064.5208333333333,9.0,10.0,34.0,9.0,11,26.0,1.54,6.0,Bad,2188.14,40.22250480062479,Yes,92.4140805435154,102.4225497846888,Low_spent_Small_value_payments,201.6154530051291,Standard,,9,1
June,33.0,Media_Manager,14310.25,1064.5208333333333,9.0,10.0,34.0,9.0,15,,1.54,6.0,Bad,2188.14,38.55357487256874,Yes,92.4140805435154,10000.0,High_spent_Large_value_payments,230.957837240058,Standard,148.0,9,1
July,33.0,Media_Manager,14310.25,1064.5208333333333,9.0,10.0,34.0,9.0,15,28.0,1.54,6.0,Bad,2188.14,34.634194386961944,Yes,92.4140805435154,74.99431805702129,Low_spent_Medium_value_payments,219.0436847327966,Poor,149.0,9,1
August,33.0,Media_Manager,14310.25,1064.5208333333333,10.0,11.0,34.0,9.0,15,26.0,1.54,6.0,Bad,2188.14,27.291219960888853,,92.4140805435154,140.90193979075994,Low_spent_Small_value_payments,163.13606299905797,Poor,150.0,9,1
January,43.0,Entrepreneur,17624.38,1483.6983333333335,7.0,9.0,26.0,7.0,38,20.0,6.92,6.0,Bad,1524.0,23.58782931575829,Yes,55.4910376756675,67.75174493261923,Low_spent_Medium_value_payments,305.1270507250466,Poor,121.0,7,1
February,43.0,Entrepreneur,17624.38,1483.6983333333335,7.0,9.0,26.0,7.0,38,22.0,6.92,6.0,Bad,1524.0,31.553002684043523,Yes,55.4910376756675,105.01411160655375,Low_spent_Small_value_payments,277.86468405111214,Poor,122.0,7,1
March,44.0,Entrepreneur,17624.38,1483.6983333333335,7.0,9.0,26.0,7.0,38,20.0,6.92,10.0,_,1524.0,31.70455417270396,Yes,55.4910376756675,156.46657411343173,Low_spent_Small_value_payments,226.4122215442341,Poor,123.0,7,1
April,44.0,Entrepreneur,17624.38,1483.6983333333335,7.0,9.0,26.0,7.0,38,18.0,6.92,10.0,Bad,1524.0,30.46688274106709,Yes,55.4910376756675,172.53029517414726,,210.34850048351865,Standard,124.0,7,1
May,44.0,Entrepreneur,17624.38,1483.6983333333335,7.0,9.0,26.0,7.0,38,18.0,6.92,10.0,Bad,1524.0,34.344620896264054,Yes,55.4910376756675,96.0843173965553,Low_spent_Small_value_payments,286.79447826111056,Standard,125.0,7,1
June,44.0,,17624.38,1483.6983333333335,7.0,9.0,26.0,7.0,38,21.0,6.92,10.0,Bad,1524.0,28.49884302116934,Yes,55.4910376756675,173.93646560694663,Low_spent_Small_value_payments,208.9423300507192,Poor,126.0,7,1
July,44.0,Entrepreneur,17624.38,,7.0,9.0,26.0,7.0,38,17.0,6.92,10.0,Bad,1524.0,23.24055614496856,Yes,55.4910376756675,77.33552559793527,Low_spent_Small_value_payments,305.5432700597306,Poor,127.0,7,1
August,44.0,,17624.38,1483.6983333333335,7.0,9.0,26.0,7.0,38,20.0,6.92,10.0,Bad,1524.0,37.44141525769873,Yes,55.4910376756675,46.23129403615904,High_spent_Medium_value_payments,296.6475016215068,Poor,128.0,7,1
January,29.0,Manager,20933.46,1857.455,7.0,5.0,27.0,3.0,47,20.0,14.05,7.0,Standard,1665.01,41.11434037658916,Yes,52.2718447022509,108.93473101190376,Low_spent_Medium_value_payments,304.5389242858453,Standard,,3,1
February,29.0,Manager,20933.46,1857.455,7.0,5.0,27.0,3.0,46,18.0,20.05,7.0,Standard,1665.01,23.80572340551778,Yes,52.2718447022509,174.6091146511508,Low_spent_Medium_value_payments,238.86454064659827,Poor,101.0,3,1
March,29.0,Manager,20933.46,,7.0,5.0,27.0,3.0,46,20.0,14.05,1493.0,_,1665.01,39.211979044945714,Yes,52.2718447022509,118.92931137993668,Low_spent_Small_value_payments,304.5443439178124,Poor,102.0,3,1
April,29.0,Manager,20933.46,,7.0,5.0,27.0,3.0,47,17.0,14.05,7.0,_,1665.01,27.9548437625986,,52.2718447022509,72.80125593633856,High_spent_Medium_value_payments,310.6723993614105,Poor,103.0,3,1
May,29.0,Manager,20933.46,1857.455,7.0,5.0,27.0,3.0,46,20.0,14.05,7.0,Standard,1665.01,40.58965922393708,Yes,52.2718447022509,10000.0,Low_spent_Large_value_payments,284.8414578170218,Poor,104.0,3,1
June,29.0,Manager,20933.46,,7.0,5.0,27.0,3.0,46,20.0,14.05,7.0,_,1665.01,30.69124662999459,Yes,52.2718447022509,182.9729878487781,,240.5006674489709,Standard,105.0,3,1
July,29.0,Manager,20933.46,1857.455,7.0,5.0,27.0,3.0,46,20.0,14.05,9.0,Standard,1665.01,36.31464446242578,Yes,52.2718447022509,166.20004426380655,Low_spent_Small_value_payments,257.27361103394253,Poor,106.0,3,1
August,29.0,Manager,20933.46,1857.455,7.0,5.0,27.0,3.0,46,20.0,14.05,9.0,Standard,1665.01,27.04822753740797,Yes,52.2718447022509,46.20044125655676,High_spent_Large_value_payments,327.2732140411923,Poor,107.0,3,1
January,37.0,Scientist,10127.625,872.96875,10.0,8.0,32.0,8.0,23,16.0,9.25,9.0,Bad,4673.99,34.05530213402758,,39.103704516487326,105.1860275248531,Low_spent_Small_value_payments,233.0071429586596,Poor,,8,1
February,37.0,Scientist,10127.625,872.96875,10.0,8.0,32.0,8.0,27,18.0,9.25,9.0,Bad,4673.99,32.85948576342775,Yes,39.103704516487326,59.987319754760286,Low_spent_Small_value_payments,278.20585072875235,Poor,105.0,8,1
March,37.0,Scientist,10127.625,872.96875,10.0,8.0,32.0,8.0,23,16.0,9.25,9.0,_,4673.99,29.45323610339177,Yes,39.103704516487326,10000.0,High_spent_Medium_value_payments,288.89588187205214,Poor,106.0,8,1
April,37.0,Scientist,10127.625,872.96875,,8.0,32.0,,20,16.0,9.25,9.0,_,4673.99,26.71088476794509,Yes,39.103704516487326,,Low_spent_Medium_value_payments,275.73484451535256,Poor,107.0,8,1
May,38.0,Scientist,10127.625,872.96875,10.0,8.0,32.0,8.0,23,16.0,9.25,9.0,Bad,4673.99,40.0676424385575,Yes,39.103704516487326,30.0920345487752,Low_spent_Medium_value_payments,298.1011359347375,Poor,108.0,8,1
June,38.0,Scientist,10127.625,,10.0,8.0,32.0,8.0,23,16.0,9.25,,Bad,4673.99,25.24941690207993,Yes,39.103704516487326,109.38538976085968,Low_spent_Small_value_payments,228.807780722653,Poor,109.0,8,1
July,38.0,Scientist,10127.625,872.96875,10.0,8.0,32.0,8.0,23,16.0,9.25,9.0,Bad,4673.99,30.59586312091363,Yes,39.103704516487326,45.81459737373053,Low_spent_Medium_value_payments,282.37857310978217,Poor,110.0,8,1
August,38.0,Scientist,10127.625,872.96875,10.0,8.0,32.0,8.0,23,16.0,10.25,,Bad,4673.99,21.990835728723063,Yes,39.103704516487326,86.04891543848612,Low_spent_Small_value_payments,252.1442550450265,Poor,111.0,8,1
January,18.0,Teacher,14134.26,1142.855,6.0,7.0,30.0,2.0,65,11.0,18.52,11.0,Standard,1289.12,31.090136575629987,Yes,17.601400433181432,69.31108219019342,High_spent_Small_value_payments,287.3730173766252,Poor,98.0,2,1
February,18.0,Teacher,14134.26,1142.855,6.0,7.0,30.0,2.0,62,10.0,18.52,11.0,Standard,1289.12,30.990804941344106,Yes,17.601400433181432,85.6922551696711,Low_spent_Small_value_payments,300.9918443971475,Poor,99.0,2,1
March,18.0,Teacher,14134.26,1142.855,6.0,7.0,30.0,2.0,62,11.0,19.52,16.0,_,1289.12,26.563811054154694,Yes,17.601400433181432,67.81469403010759,,298.869405536711,Poor,100.0,2,1
April,18.0,Teacher,14134.26,1142.855,6.0,7.0,30.0,2.0,65,11.0,23.52,16.0,Standard,1289.12,34.786753410016644,Yes,17.601400433181432,100.71618822180142,Low_spent_Large_value_payments,265.9679113450172,Poor,101.0,2,1
May,19.0,Teacher,14134.26,1142.855,6.0,7.0,30.0,2.0,62,10.0,14.52,16.0,_,1289.12,38.72710182931444,Yes,17.601400433181432,133.18186087040328,Low_spent_Small_value_payments,253.50223869641533,Poor,102.0,2,1
June,19.0,Teacher,14134.26,1142.855,6.0,7.0,30.0,2.0,62,14.0,18.52,16.0,Standard,1289.12,31.27984557435667,,17.601400433181432,93.12128395892432,Low_spent_Small_value_payments,293.56281560789427,Poor,103.0,2,1
July,19.0,Teacher,14134.26,1142.855,6.0,7.0,30.0,2.0,61,,18.52,16.0,Standard,1289.12,24.338263836847272,Yes,17.601400433181432,41.98649207920168,High_spent_Medium_value_payments,304.6976074876169,Standard,104.0,2,1
August,19.0,Teacher,14134.26,,6.0,7.0,30.0,2.0,62,,18.52,16.0,_,1289.12,27.38121155634493,Yes,17.601400433181432,93.2743975134645,Low_spent_Small_value_payments,293.40970205335407,Standard,105.0,2,1
January,24.0,,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,27,20.0,2.25,11.0,Bad,1626.12,33.974735494863424,Yes,44.19159101141758,61.24047190277251,Low_spent_Medium_value_payments,267.14335375247657,Poor,111.0,6,1
February,25.0,Manager,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,27,20.0,2.25,15.0,Bad,1626.12,34.026746971430896,Yes,44.19159101141758,46.4245547496925,Low_spent_Small_value_payments,291.95927090555665,Poor,112.0,6,1
March,,Manager,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,27,24.0,2.25,15.0,Bad,1626.12,36.75626949489048,Yes,44.19159101141758,79.7875228226015,Low_spent_Large_value_payments,238.5963028326476,Poor,113.0,6,1
April,25.0,Manager,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,28,23.0,2.25,15.0,Bad,1626.12,32.265021383906735,Yes,44.19159101141758,117.51735803638284,Low_spent_Small_value_payments,220.86646761886627,Poor,114.0,6,1
May,25.0,Manager,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,27,23.0,2.25,15.0,_,1626.12,32.75177958091515,Yes,44.19159101141758,37.74759941560192,Low_spent_Medium_value_payments,290.6362262396472,Poor,115.0,6,1
June,25.0,Manager,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,27,23.0,2.25,15.0,Bad,1626.12,39.17182799041433,Yes,44.19159101141758,49.51079927521671,Low_spent_Small_value_payments,288.8730263800324,Poor,116.0,6,1
July,25.0,Manager,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,25,,2.25,15.0,Bad,1626.12,40.38737732750352,Yes,44.19159101141758,31.8984058180815,Low_spent_Small_value_payments,306.4854198371676,Poor,117.0,6,1
August,25.0,Manager,9669.05,925.7541666666666,8.0,6.0,31.0,6.0,27,23.0,-4.75,15.0,Bad,1626.12,32.38111701039556,Yes,44.19159101141758,49.238724934324026,Low_spent_Small_value_payments,289.14510072092514,Poor,118.0,6,1
January,36.0,Teacher,25573.07,1948.0891666666664,8.0,6.0,11.0,4.0,8,8.0,6.87,4.0,Good,477.2,27.49152123809502,No,52.24177407993625,92.10634741047528,,340.4607951762552,Good,208.0,4,1
February,36.0,Teacher,25573.07,1948.0891666666664,8.0,6.0,11.0,4.0,8,11.0,6.87,4.0,Good,477.2,27.233953181817924,No,52.24177407993625,49.86954132261279,High_spent_Large_value_payments,332.6976012641176,Good,209.0,4,1
March,36.0,Teacher,25573.07,1948.0891666666664,8.0,6.0,11.0,4.0,13,12.0,6.87,4.0,Good,477.2,36.87431078086574,No,52.24177407993625,227.7555832764146,Low_spent_Small_value_payments,204.81155931031583,Good,210.0,4,1
April,36.0,Teacher,25573.07,1948.0891666666664,8.0,6.0,11.0,4.0,8,11.0,6.87,4.0,Good,477.2,34.015625811958266,No,52.24177407993625,81.67242688727835,Low_spent_Medium_value_payments,340.8947156994521,Good,211.0,4,1
May,36.0,Teacher,25573.07,1948.0891666666664,8.0,6.0,,4.0,12,,6.87,4.0,Good,477.2,28.33835663232093,No,52.24177407993625,113.25300657280972,Low_spent_Small_value_payments,319.3141360139207,Good,212.0,4,1
June,36.0,Teacher,25573.07,1948.0891666666664,8.0,,11.0,4.0,8,11.0,6.87,4.0,_,477.2,30.43008367982605,No,52.24177407993625,72.72247722891237,High_spent_Small_value_payments,329.8446653578181,Good,213.0,4,1
July,36.0,Teacher,25573.07,1948.0891666666664,8.0,6.0,11.0,4.0,8,11.0,6.87,7.0,Good,477.2,38.67113280624202,No,52.24177407993625,224.04115027574227,Low_spent_Small_value_payments,208.52599231098816,Good,214.0,4,1
August,36.0,Teacher,25573.07,1948.0891666666664,8.0,6.0,11.0,4.0,8,14.0,6.87,7.0,Good,477.2,22.93721866392369,No,52.24177407993625,10000.0,Low_spent_Small_value_payments,296.69810887183064,Good,215.0,4,1
January,45.0,Scientist,121881.24,,0.0,3.0,2.0,4.0,2,4.0,0.51,3.0,Good,771.77,41.816829376177495,No,388.6004350130061,117.28073086221012,High_spent_Large_value_payments,746.7958341247839,Standard,195.0,4,1
February,45.0,Scientist,121881.24,10126.77,0.0,3.0,2.0,,4,,1.51,3.0,_,771.77,24.547667955320968,,388.6004350130061,198.749857110824,High_spent_Medium_value_payments,675.3267078761701,Good,196.0,4,1
March,45.0,Scientist,121881.24,10126.77,0.0,3.0,2.0,4.0,4,2.0,1.51,3.0,Good,771.77,38.167946494582296,No,388.6004350130061,220.2448733202616,High_spent_Medium_value_payments,653.8316916667325,Good,197.0,4,1
April,46.0,Scientist,121881.24,10126.77,0.0,3.0,2.0,4.0,4,4.0,1.51,3.0,Good,771.77,34.093039035103786,No,388.6004350130061,10000.0,High_spent_Large_value_payments,639.2353517543381,Standard,198.0,4,1
May,46.0,Scientist,121881.24,10126.77,0.0,3.0,2.0,4.0,-1,4.0,1.51,3.0,Good,771.77,34.741511527260194,,388.6004350130061,792.0791923856129,Low_spent_Large_value_payments,101.99737260138112,Good,,4,1
June,46.0,Scientist,121881.24,10126.77,0.0,3.0,2.0,4.0,7,4.0,1.51,3.0,Good,771.77,27.24927590235809,No,388.6004350130061,1057.7686422669726,Low_spent_Small_value_payments,,Good,200.0,4,1
July,46.0,Scientist,121881.24,10126.77,0.0,3.0,2.0,4.0,4,6.0,3.51,3.0,Good,771.77,25.213645051430465,No,388.6004350130061,175.24797237223362,High_spent_Large_value_payments,688.8285926147604,Standard,201.0,4,1
August,46.0,Scientist,121881.24,10126.77,0.0,3.0,2.0,4.0,4,5.0,1.51,3.0,Good,771.77,39.19485694189493,No,388.6004350130061,251.21954458956463,High_spent_Large_value_payments,612.8570203974293,Standard,202.0,4,1
January,36.0,Engineer,137672.12,11613.676666666664,6.0,7.0,7.0,2.0,20,,18.2,7.0,Standard,43.56,41.201027278913,Yes,169.5553145193944,431.4775828135708,High_spent_Medium_value_payments,810.3347693337016,Standard,368.0,2,1
February,36.0,Engineer,137672.12,11613.676666666664,6.0,7.0,7.0,2.0,19,8.0,18.2,7.0,Standard,43.56,35.19581046206925,Yes,169.5553145193944,,High_spent_Large_value_payments,935.141377431942,Standard,369.0,2,1
March,36.0,Engineer,137672.12,11613.676666666664,6.0,7.0,7.0,2.0,22,8.0,18.2,7.0,_,43.56,33.169271575374175,Yes,169.5553145193944,238.49183273098103,High_spent_Large_value_payments,993.3205194162912,Standard,370.0,2,1
April,36.0,Engineer,137672.12,11613.676666666664,6.0,7.0,7.0,2.0,19,10.0,18.2,7.0,Standard,43.56,39.66844101972638,Yes,169.5553145193944,224.76272204495064,High_spent_Large_value_payments,1007.0496301023215,Standard,371.0,2,1
May,36.0,Engineer,137672.12,11613.676666666664,6.0,,7.0,2.0,23,8.0,18.2,8.0,Standard,43.56,36.52194784207128,Yes,169.5553145193944,269.8417007535709,High_spent_Large_value_payments,961.9706513937016,Standard,372.0,2,1
June,36.0,Engineer,137672.12,11613.676666666664,6.0,7.0,7.0,,19,9.0,18.2,8.0,Standard,43.56,44.2019157653193,Yes,169.5553145193944,179.21189713977216,,1062.6004550075004,Standard,373.0,2,1
July,36.0,Engineer,137672.12,11613.676666666664,6.0,7.0,7.0,,19,7.0,22.2,8.0,_,43.56,30.52436350226896,,169.5553145193944,150.30257724570586,High_spent_Medium_value_payments,1091.5097749015663,Good,374.0,2,1
August,36.0,Engineer,137672.12,11613.676666666664,6.0,7.0,7.0,2.0,14,8.0,18.2,8.0,_,43.56,30.05144894763839,Yes,169.5553145193944,,Low_spent_Medium_value_payments,147.48709157347318,Good,375.0,2,1
January,38.0,Teacher,42474.2,,2.0,3.0,8.0,4.0,24,6.0,10.57,4.0,_,580.71,24.85893576853877,No,82.06622873153366,467.40987757934965,Low_spent_Small_value_payments,106.37556035578328,Poor,205.0,4,1
February,38.0,Teacher,42474.2,3658.5166666666655,2.0,3.0,8.0,4.0,28,6.0,10.57,5.0,Good,580.71,25.14320720716482,No,82.06622873153366,113.76993714737269,Low_spent_Medium_value_payments,450.0155007877604,Poor,,4,1
March,38.0,Teacher,42474.2,3658.5166666666655,2.0,3.0,8.0,4.0,28,6.0,10.57,5.0,Good,580.71,31.68605936055608,No,82.06622873153366,270.80948499127066,Low_spent_Large_value_payments,282.97595294386235,Poor,207.0,4,1
April,39.0,Teacher,42474.2,,2.0,3.0,8.0,4.0,28,6.0,10.57,5.0,_,580.71,28.6714856107441,No,82.06622873153366,226.1534092656132,High_spent_Small_value_payments,317.6320286695198,Standard,208.0,4,1
May,39.0,Teacher,42474.2,3658.5166666666655,2.0,3.0,8.0,,28,,10.57,5.0,Good,580.71,38.81764759924916,,82.06622873153366,105.66647725804606,High_spent_Medium_value_payments,428.1189606770871,Poor,209.0,4,1
June,39.0,,42474.2,3658.5166666666655,2.0,3.0,8.0,4.0,28,6.0,10.57,5.0,Good,580.71,39.80923460593064,No,82.06622873153366,39.171890540797776,High_spent_Medium_value_payments,494.6135473943352,Poor,210.0,4,1
July,39.0,Teacher,42474.2,3658.5166666666655,2.0,3.0,8.0,4.0,25,6.0,10.57,5.0,Good,580.71,26.74363075730637,No,82.06622873153366,162.1173689424424,Low_spent_Large_value_payments,391.6680689926907,Standard,211.0,4,1
August,39.0,Teacher,42474.2,3658.5166666666655,2.0,3.0,8.0,4.0,28,9.0,10.57,5.0,Good,580.71,25.768934859391408,,82.06622873153366,93.17283661058572,High_spent_Medium_value_payments,440.61260132454737,Poor,212.0,4,1
January,17.0,Manager,9898.815,781.90125,8.0,6.0,16.0,3.0,59,14.0,14.1,7.0,Standard,2381.42,25.298930053767773,Yes,21.362569128893117,85.57125752303557,Low_spent_Small_value_payments,261.2562983480713,Poor,117.0,3,1
February,17.0,Manager,9898.815,781.90125,8.0,6.0,16.0,3.0,58,16.0,19.1,7.0,_,2381.42,37.57251064947653,Yes,21.362569128893117,69.91475580218746,Low_spent_Medium_value_payments,266.9128000689194,Poor,,3,1
March,17.0,Manager,9898.815,781.90125,,6.0,16.0,3.0,58,14.0,19.1,7.0,_,2381.42,34.24313385475814,Yes,21.362569128893117,72.94168552276756,,253.88587034833927,Standard,119.0,3,1
April,17.0,Manager,9898.815,781.90125,8.0,6.0,16.0,3.0,53,16.0,12.1,7.0,Standard,2381.42,29.24284749211018,Yes,21.362569128893117,88.67060819123384,Low_spent_Small_value_payments,258.15694767987304,Standard,120.0,3,1
May,,Manager,9898.815,781.90125,8.0,6.0,16.0,3.0,58,16.0,12.1,7.0,Standard,2381.42,25.095377750237063,,21.362569128893117,23.92390850144709,Low_spent_Medium_value_payments,312.9036473696598,Poor,121.0,3,1
June,17.0,Manager,9898.815,781.90125,8.0,6.0,16.0,3.0,58,17.0,12.1,7.0,Standard,2381.42,32.360973860344444,Yes,21.362569128893117,80.44818001974389,Low_spent_Small_value_payments,266.37937585136297,Standard,122.0,3,1
July,17.0,Manager,9898.815,781.90125,8.0,6.0,16.0,3.0,62,16.0,12.1,7.0,Standard,2381.42,35.834658552135075,Yes,21.362569128893117,37.6349553991645,Low_spent_Small_value_payments,309.19260047194234,Poor,123.0,3,1
August,17.0,Manager,9898.815,781.90125,8.0,6.0,16.0,3.0,58,16.0,13.1,7.0,Standard,2381.42,29.74802391817691,Yes,21.362569128893117,56.41176735459492,Low_spent_Small_value_payments,290.41578851651195,Poor,,3,1
January,31.0,Media_Manager,16241.52,1548.46,9.0,9.0,23.0,6.0,16,,15.17,8.0,Bad,2410.41,28.75828103743665,Yes,71.8909206846593,74.72641241283867,Low_spent_Small_value_payments,298.228666902502,Poor,73.0,6,1
February,31.0,Media_Manager,16241.52,1548.46,9.0,9.0,23.0,6.0,16,22.0,15.17,8.0,Bad,2410.41,25.219058590790333,Yes,71.8909206846593,127.75729594692602,Low_spent_Small_value_payments,245.1977833684147,Poor,74.0,6,1
March,31.0,Media_Manager,16241.52,1548.46,9.0,9.0,23.0,6.0,16,21.0,15.17,8.0,Bad,2410.41,28.00118669040569,Yes,71.8909206846593,98.62288098787424,Low_spent_Medium_value_payments,264.33219832746653,Poor,75.0,6,1
April,31.0,,16241.52,,9.0,9.0,23.0,6.0,16,22.0,19.17,8.0,Bad,2410.41,33.22674457022276,Yes,71.8909206846593,10000.0,High_spent_Medium_value_payments,276.1108631187131,Standard,76.0,6,1
May,31.0,Media_Manager,16241.52,1548.46,9.0,,23.0,6.0,16,22.0,15.17,8.0,Bad,2410.41,28.594293425656943,Yes,71.8909206846593,207.5222756097297,,165.43280370561095,Standard,77.0,6,1
June,31.0,Media_Manager,16241.52,1548.46,9.0,9.0,23.0,6.0,16,22.0,15.17,8.0,Bad,2410.41,27.738372370004047,Yes,71.8909206846593,87.82060642692919,Low_spent_Large_value_payments,265.13447288841155,Standard,,6,1
July,31.0,Media_Manager,16241.52,1548.46,9.0,9.0,23.0,6.0,16,21.0,15.17,8.0,_,2410.41,35.07578874822367,Yes,71.8909206846593,,High_spent_Small_value_payments,242.0455012239428,Standard,79.0,6,1
August,31.0,Media_Manager,16241.52,1548.46,9.0,9.0,23.0,6.0,16,22.0,15.17,8.0,Bad,2410.41,36.271992265658,,71.8909206846593,92.68646059842114,Low_spent_Small_value_payments,280.2686187169196,Standard,80.0,6,1
January,53.0,Lawyer,21009.425,1531.7854166666666,0.0,4.0,8.0,,10,5.0,1.43,2.0,Good,807.66,27.890896256132585,,35.310346499208485,160.2258782847516,,247.64231688270652,Standard,307.0,4,1
February,54.0,Lawyer,21009.425,,0.0,4.0,8.0,4.0,7,2.0,-3.5700000000000003,2.0,Good,807.66,34.796217787285386,No,35.310346499208485,197.8448977184425,Low_spent_Small_value_payments,210.0232974490157,Poor,,4,1
March,54.0,,21009.425,1531.7854166666666,0.0,4.0,8.0,4.0,10,3.0,1.43,2.0,Good,807.66,32.615376071125354,No,35.310346499208485,88.80327812864194,Low_spent_Small_value_payments,319.06491703881625,Poor,309.0,4,1
April,54.0,,21009.425,1531.7854166666666,0.0,4.0,8.0,4.0,10,,1.43,2.0,Good,807.66,37.05985595041345,No,35.310346499208485,10000.0,Low_spent_Small_value_payments,336.2405416380953,Poor,310.0,4,1
May,54.0,Lawyer,21009.425,1531.7854166666666,0.0,,8.0,4.0,6,,1.43,2.0,Good,807.66,29.05402587707218,No,35.310346499208485,10000.0,Low_spent_Small_value_payments,225.79859964708055,Poor,311.0,4,1
June,54.0,Lawyer,21009.425,1531.7854166666666,0.0,4.0,8.0,4.0,10,1.0,1.43,2.0,Good,807.66,38.17735505549929,No,35.310346499208485,65.90065209929861,Low_spent_Medium_value_payments,331.9675430681596,Poor,312.0,4,1
July,54.0,Lawyer,21009.425,1531.7854166666666,0.0,4.0,8.0,4.0,10,2.0,1.43,2.0,Good,807.66,30.691168289744866,,35.310346499208485,10000.0,Low_spent_Small_value_payments,333.1946169066296,Poor,313.0,4,1
August,54.0,Lawyer,21009.425,,0.0,4.0,8.0,4.0,5,2.0,,2.0,Good,807.66,28.18548233420792,No,35.310346499208485,28.83703546153052,High_spent_Large_value_payments,329.0311597059276,Poor,314.0,4,1
January,48.0,Media_Manager,91702.14,7455.845,5.0,7.0,10.0,,14,3.0,0.87,1.0,Good,233.12,32.59086140513771,,140.7271245194409,94.51048244443147,High_spent_Medium_value_payments,760.3468930361274,Poor,,3,1
February,48.0,Media_Manager,91702.14,7455.845,5.0,7.0,10.0,3.0,13,3.0,0.87,2.0,Good,233.12,35.80298218274715,No,140.7271245194409,269.96690095600684,Low_spent_Small_value_payments,624.8904745245522,Poor,243.0,3,1
March,48.0,Media_Manager,91702.14,7455.845,5.0,7.0,10.0,3.0,8,3.0,3.87,2.0,Good,233.12,33.35889202787089,No,140.7271245194409,222.4722803262273,,632.3850951543318,Standard,244.0,3,1
April,48.0,Media_Manager,91702.14,7455.845,5.0,7.0,10.0,3.0,12,,0.87,2.0,_,233.12,30.55993746540945,No,140.7271245194409,,,,Standard,245.0,3,1
May,48.0,Media_Manager,91702.14,7455.845,5.0,7.0,10.0,3.0,8,4.0,0.87,2.0,Good,233.12,39.56674533634735,No,140.7271245194409,285.19453555987167,High_spent_Medium_value_payments,569.6628399206874,Standard,246.0,3,1
June,48.0,Media_Manager,91702.14,7455.845,5.0,7.0,10.0,3.0,13,3.0,0.87,2.0,Good,233.12,38.394444513931305,No,140.7271245194409,99.73912854588777,High_spent_Large_value_payments,745.1182469346713,Standard,247.0,3,1
July,48.0,Media_Manager,91702.14,7455.845,5.0,7.0,10.0,3.0,9,5.0,0.87,2.0,Good,233.12,43.28800855036482,No,140.7271245194409,156.54918303233538,High_spent_Large_value_payments,688.3081924482237,Standard,248.0,3,1
